"original_name";"current_name_hu";"current_name";"full_name";"latitude";"longitude"
"Andornak";"Andornaktálya";;"Andornaktálya";"47.8499325";"20.4105243"
"Aszód";;;"Aszód";"47.6533802";"19.4843422"
"Beje";"Tornalja";"Behynce, SK";"Behynce, SK";"48.422320";"20.293350"
"Beregszász";;"Berehove, UA";"Berehove, UA";"48.1971868";"22.6370954"
"Berence";"Kővárberence";"Berința, RO";"Berința, RO";"47.5456723";"23.6771259"
"Berkesz";"Berkeszpataka";"Berchezoaia, RO";"Berkeszpataka";"47.5015952";"23.5397833"
"Betlen";;"Beclean, RO";"Beclean, RO";"47.1800681";"24.1704031"
"Borjád";"Kölesd";;"Kölesd";"46.5071238";"18.5862709"
"Buda";"Budapest";;"Budapest";"47.429022";"18.983501"
"Cinkota";"Budapest";;"Budapest";"47.5222844";"19.2300729"
"Cseke";"Szatmárcseke";;"Szatmárcseke";"48.0870877";"22.6254074"
"Debrecen";;;"Debrecen";"47.5288879";"21.6254485"
"Dés";;"Dej, RO";"Dej, RO";"47.1426672";"23.8759884"
"Diósgyőr";;;"Miskolc";"48.0974664";"20.6958121"
"Diószeg";"Bihardiószeg";"Diosig, RO";"Diosig, RO";"47.3067786";"21.9953407"
"Dömsöd";;;"Dömsöd";"47.0903328";"19.0107327"
"Dunaföldvár";;;"Dunaföldvár";"46.806202";"18.9167877"
"Dunavecse";;;"Dunavecse";"46.9133047";"18.9731873"
"Eger";;;"Eger";"47.9025348";"20.3772284"
"Eperjes";;"Prešov, SK";"Prešov, SK";"49.0018324";"21.2393119"
"Erdőd";;"Ardud, RO";"Ardud, RO";"47.6351232";"22.8841991"
"Érmihályfalva";;"Valea Lui Mihai, RO";"Valea Lui Mihai, RO";"47.5226462";"22.1264628"
"Füzesabony";;;"Füzesabony";"47.7495339";"20.4150668"
"Gödöllő";;;"Gödöllő";"47.6007732";"19.3605431"
"Grác";;"Graz, AT";"Graz, AT";"47.070714";"15.439504"
"Hatvan";;;"Hatvan";"47.6656965";"19.676666"
"Hortobágy";;;"Hortobágy";"47.5868751";"21.1560332"
"Igló";;"Spišská Nová Ves, SK";"Spišská Nová Ves, SK";"48.9435344";"20.562964"
"Karánsebes";;"Caransebeș, RO";"Caransebeș, RO";"45.413619";"22.2218641"
"Kecskemét";;;"Kecskemét";"46.8963711";"19.6896861"
"Késmárk";;"Kežmarok, SK";"Kežmarok, SK";"49.1332664";"20.4306967"
"Kisfalud";"Gortvakisfalud";"Gortva, SK";"Gortva, SK";"48.2959264";"20.0249876"
"Kiskunfélegyháza";;;"Kiskunfélegyháza";"46.7112802";"19.8515197"
"Kiskunlacháza";;;"Kiskunlacháza";"47.18256";"19.0092269"
"Kolozsvár";;"Cluj-Napoca, RO";"Cluj-Napoca, RO";"46.7712101";"23.6236353"
"Koltó";;"Coltău, RO";"Coltău, RO";"47.5963088";"23.5219958"
"Komárom";;;"Komárom";"47.7390852";"18.1267006"
"Körösladány";;;"Körösladány";"46.9607513";"21.0767574"
"Kunszentmiklós";;;"Kunszentmiklós";"47.0244473";"19.1235997"
"Losonc";;"Lučenec, SK";"Lučenec, SK";"48.3286673";"19.6690601"
"Majtény";"Nagymajtény";"Moftinu Mare, RO";"Moftinu Mare, RO";"47.6758872";"22.6519006"
"Marburg";;"Maribor, SI";"Maribor, SLO";"46.5576439";"15.6455854"
"Marosvásárhely";;"Târgu Mureș, RO";"Târgu Mureș, RO";"46.5385862";"24.5514392"
"Medgyes";;"Mediaș, RO";"Mediaș, RO";"46.1572828";"24.3471665"
"Mezőberény";;;"Mezőberény";"46.825687";"21.0243614"
"Mezőtúr";;;"Mezőtúr";"47.0041296";"20.6161809"
"Miskolc";;;"Miskolc";"48.1034775";"20.7784384"
"Munkács";;"Mukacsevo, UA";"Mukacsevo, UA";"48.4493055";"22.7117106"
"Nagybánya";;"Baia Mare, RO";"Baia Mare, RO";"47.6567387";"23.5849881"
"Nagykároly";;"Carei, RO";"Carei, RO";"47.6794435";"22.4631039"
"Nagykőrös";;;"Nagykőrös";"47.0316684";"19.7803862"
"Nagypeleske";;"Peleș, RO";"Peleș, RO";"46.336285";"22.9832645"
"Nagyvárad";;"Oradea, RO";"Oradea, RO";"47.0465005";"21.9189438"
