"title";"date";"type"
"Versek 1842-1844";1844;"kötet"
"A helység kalapácsa";1844;"kötet"
"János vitéz";1845;"kötet"
"Cipruslombok Etelke sírjáról";1845;"kötet"
"Szerelem gyöngyei";1845;"kötet"
"Versek 1844-1845";1845;"kötet"
"Felhők";1846;"kötet"
"Összes költeményei";1847;"kötet"
"Összes költeményei, 2. kiad., 1. kötet";1848;"kötet"
"Összes költeményei, 2. kiad., 2. kötet";1848;"kötet"
"Petőfi újabb költeményei, 1847-1849";1852;"kötet"
"Nemzeti dal";1848;"röplap"
"A királyokhoz";1848;"röplap"
"Készülj hazám";1848;"röplap"
"A kis-kunokhoz";1848;"röplap"
"A nemzetgyűlési követekhez";1848;"röplap"
"Király és hóhér";1848;"röplap"
"Buda várán újra német zászló";1849;"röplap"
"Európa csendes, újra csendes";1849;"röplap"
"Az erdélyi hadsereg";1849;"röplap"
"Csatadal";1849;"röplap"
"Élet vagy halál";1849;"röplap"
"A honvéd";1849;"röplap"
